LAMMPS data file converted from liquid-64.xyz

192 atoms
2 atom types

0.0 12.415238 xlo xhi
0.0 12.415238 ylo yhi
0.0 12.415238 zlo zhi

Masses

1 1.0080 # H
2 15.9990 # O

Atoms

1 1 8.509793 7.499757 10.073130
2 1 7.641812 8.559392 9.183963
3 2 7.610141 7.692223 9.681086
4 1 5.621050 6.239532 0.536813
5 1 7.238004 6.205304 0.310707
6 2 6.355407 5.915811 12.355359
7 1 6.062353 4.700326 2.010149
8 1 5.250060 3.801820 0.914839
9 2 6.031646 3.819012 1.538494
10 1 8.897738 6.219522 5.204527
11 1 8.056939 6.264054 6.603780
12 2 8.900147 5.949753 6.167509
13 1 12.362429 6.241633 6.952162
14 1 1.215586 7.181189 6.533540
15 2 0.929315 6.251070 6.763855
16 1 4.490335 9.983379 10.274422
17 1 6.074205 9.589398 10.328920
18 2 5.293113 9.908044 10.866021
19 1 10.323579 8.339967 0.683173
20 1 9.198678 9.496432 0.430147
21 2 9.907957 8.938923 12.413848
22 1 9.526931 11.061811 6.504411
23 1 11.040703 10.449224 6.496099
24 2 10.069574 10.227354 6.407782
25 1 4.643328 3.973134 10.229906
26 1 3.673696 5.027685 11.013853
27 2 4.584318 4.890401 10.623931
28 1 5.587874 0.562914 2.486814
29 1 6.464220 1.938582 2.566768
30 2 5.548655 1.560537 2.429142
31 1 9.080223 2.250256 1.359703
32 1 9.915848 1.081857 0.582909
33 2 9.880410 1.652027 1.403743
34 1 3.754609 7.729640 9.908515
35 1 5.307468 7.465643 10.339523
36 2 4.416663 7.035757 10.191938
37 1 5.342534 5.871310 8.493957
38 1 6.393332 4.783883 7.877383
39 2 6.241008 5.753124 8.070999
40 1 9.597577 12.404836 3.944701
41 1 10.966137 0.828237 4.245639
42 2 10.207690 0.326599 4.661855
43 1 9.470850 8.069055 6.235140
44 1 11.066395 8.276087 6.514804
45 2 10.355175 7.606605 6.300149
46 1 8.151639 3.890434 6.204403
47 1 9.296296 3.727201 7.357638
48 2 8.446779 3.347811 6.990895
49 1 8.402398 3.729530 12.321190
50 1 8.116654 4.484477 1.325544
51 2 8.804191 4.298545 0.623518
52 1 6.511993 11.064585 3.766784
53 1 4.913830 11.037067 3.432190
54 2 5.802072 10.636113 3.207733
55 1 9.949722 10.460920 2.577787
56 1 11.015949 10.300061 1.351361
57 2 10.698475 9.906579 2.214205
58 1 10.017852 6.273895 2.773205
59 1 9.953904 6.247420 1.141627
60 2 9.798137 5.714857 1.973631
61 1 3.554932 5.744503 5.689910
62 1 2.800166 4.316458 5.449383
63 2 2.670784 5.304667 5.531978
64 1 3.925523 6.893752 1.745215
65 1 2.869786 8.054024 2.199112
66 2 2.957173 7.129246 1.828617
67 1 5.098265 11.029103 7.355209
68 1 5.062065 10.704178 5.755225
69 2 4.506549 10.805584 6.580596
70 1 2.009887 3.282140 7.359265
71 1 3.533460 3.716641 7.755208
72 2 2.566547 3.829572 7.984216
73 1 0.467137 4.149174 9.906428
74 1 0.764907 4.959664 8.520327
75 2 0.055688 4.687092 9.170582
76 1 3.103285 5.892468 0.009962
77 1 3.316772 4.273454 0.002831
78 2 3.782488 5.158447 0.006492
79 1 2.475940 2.410482 0.715033
80 1 3.596990 1.230355 0.846881
81 2 3.390131 2.117684 0.434602
82 1 2.566721 3.796763 2.426119
83 1 3.786174 3.041825 3.207041
84 2 2.952856 3.582350 3.323362
85 1 5.830111 1.819333 0.019422
86 1 7.461449 1.757391 12.392993
87 2 6.667366 2.365239 12.401390
88 1 5.329789 8.799631 2.077326
89 1 5.526481 8.518372 3.673898
90 2 4.861322 8.562341 2.928413
91 1 6.585618 7.952979 7.104091
92 1 5.166898 8.758446 7.031343
93 2 5.597548 7.857154 6.983053
94 1 8.651530 12.370390 1.967324
95 1 7.225488 12.356152 1.171687
96 2 7.848665 0.498014 1.720694
97 1 3.004330 10.114833 2.901473
98 1 1.552652 9.537997 3.377630
99 2 2.051645 10.354915 3.088201
100 1 4.983836 6.034988 3.467836
101 1 3.374151 5.763379 3.512304
102 2 4.274749 5.329872 3.478932
103 1 12.414670 11.016678 5.634342
104 1 1.072745 9.792725 5.504834
105 2 0.126808 10.070417 5.336884
106 1 7.342033 8.831019 4.868777
107 1 7.928138 10.303358 5.263157
108 2 8.173760 9.362386 5.030007
109 1 0.841058 9.587191 8.419556
110 1 2.007905 10.597880 7.886815
111 2 1.468846 9.784836 7.666605
112 1 6.617668 2.682803 11.002647
113 1 5.842915 1.245239 11.003557
114 2 6.738587 1.690083 11.002179
115 1 5.570542 3.701570 4.448928
116 1 5.987479 3.684155 6.027755
117 2 5.972070 3.151667 5.181388
118 1 9.340614 5.775381 8.313315
119 1 10.851182 6.318185 8.012674
120 2 9.909258 6.591315 8.208372
121 1 8.546235 1.975251 4.194106
122 1 9.351588 3.371755 4.454912
123 2 9.426884 2.374550 4.449319
124 1 2.141263 7.394532 4.552160
125 1 3.756129 7.635574 4.582831
126 2 2.864099 8.085500 4.538490
127 1 4.177493 8.883459 0.033273
128 1 5.798991 8.715914 12.351002
129 2 4.928005 8.225626 12.384452
130 1 1.948515 0.778146 4.216077
131 1 1.307684 2.279812 4.250312
132 2 2.159149 1.755304 4.246275
133 1 0.845516 0.215815 6.402675
134 1 2.371917 0.782562 6.528115
135 2 1.409318 1.040703 6.445151
136 1 3.140755 7.946599 7.239346
137 1 2.713361 6.554427 7.978282
138 2 3.481936 7.142766 7.726752
139 1 8.975023 5.340595 11.012098
140 1 7.467773 4.712083 11.014058
141 2 7.999493 5.558393 10.980142
142 1 11.011680 3.419444 9.174641
143 1 11.016981 1.788695 9.088243
144 2 10.581811 2.622907 8.749368
145 1 2.428151 0.186998 10.830930
146 1 0.974258 0.634194 10.236753
147 2 1.595631 0.709007 11.016763
148 1 10.990171 5.631103 5.598173
149 1 11.073091 4.000827 5.644636
150 2 10.759102 4.816612 6.130458
151 1 7.330719 0.323935 4.970641
152 1 5.753207 0.088787 4.619932
153 2 6.405294 0.297668 5.348814
154 1 7.501854 10.985138 7.333037
155 1 8.203677 9.511214 7.290267
156 2 7.333822 9.999670 7.360137
157 1 8.239597 5.174567 3.391735
158 1 7.529198 3.707656 3.290042
159 2 7.521419 4.587465 3.765430
160 1 6.574476 7.055666 2.326834
161 1 8.171361 7.216178 2.025123
162 2 7.301242 7.703626 2.098633
163 1 9.491052 0.874283 7.046114
164 1 11.020803 1.129869 6.534865
165 2 10.159727 1.571411 6.787267
166 1 1.443931 6.954256 10.058993
167 1 0.000022 7.659542 9.768244
168 2 0.581732 6.873503 9.558784
169 1 10.874893 4.264682 3.208076
170 1 10.679540 3.720791 1.680707
